problem,algorithm,time-required,space-required,solution,optimal-solution,solution-quality,problem-size
a280,christofides,0.7991106510162354,9880.0,2977.137612435975,2579,0.1337316793059518,280
a280,twice-around-the-tree,0.0826969146728515,8968.0,3630.72030510924,2579,0.2896726315241724,280
bier127,christofides,0.1346445083618164,4600.0,132035.73486533115,118282,0.1041667612132364,127
bier127,twice-around-the-tree,0.0157232284545898,4072.0,158637.60615918832,118282,0.2543886480403178,127
brd14051,christofides,1800.0,,,469385,,14051
brd14051,twice-around-the-tree,452.2556877136231,449640.0,655959.1514980729,469385,0.2844295274667283,14051
d1291,christofides,59.21386623382568,43560.0,58082.963428742136,50801,0.1253717613371407,1291
d1291,twice-around-the-tree,2.2862143516540527,41320.0,74658.29731002661,50801,0.319553193276785,1291
d15112,christofides,1800.0,,,1573084,,15112
d15112,twice-around-the-tree,534.340167760849,483592.0,2184615.9326109807,1573084,0.2799265186536006,15112
d1655,christofides,142.70773243904114,57224.0,70630.68985104751,62128,0.1203823701705132,1655
d1655,twice-around-the-tree,4.056512594223023,52968.0,85681.0784168341,62128,0.2748924132612987,1655
d18512,christofides,1800.0,,,645238,,18512
d18512,twice-around-the-tree,836.3323373794556,592392.0,901077.5872525095,645238,0.2839262577072793,18512
d198,christofides,0.3387467861175537,7016.0,17259.450867514937,15780,0.0857183046477742,198
d198,twice-around-the-tree,0.0436654090881347,6344.0,19218.43305436619,15780,0.1789132883330995,198
d2103,christofides,240.8889572620392,68584.0,83723.94596314241,80450,0.039104057094773,2103
d2103,twice-around-the-tree,6.722869396209717,67304.0,124533.87160392564,80450,0.3539910149435681,2103
d493,christofides,5.0462915897369385,17368.0,38440.5452829601,35002,0.0894510017391541,493
d493,twice-around-the-tree,0.2764956951141357,15784.0,45427.08884703529,35002,0.2294905773543897,493
d657,christofides,12.369964122772217,23160.0,54778.95807756741,48912,0.1071024036138064,657
d657,twice-around-the-tree,0.5331449508666992,21032.0,65730.19370040316,48912,0.2558670947640917,657
eil101,christofides,0.072253942489624,3672.0,738.0637823905627,629,0.1477701317863192,101
eil101,twice-around-the-tree,0.0098955631256103,3240.0,830.5422075548881,629,0.2426634139982209,101
eil51,christofides,0.0092511177062988,1816.0,483.4772385287931,426,0.1188830289171309,51
eil51,twice-around-the-tree,0.0029730796813964,1640.0,640.9012229251007,426,0.3353109890230545,51
eil76,christofides,0.0328521728515625,2744.0,622.7262065969898,538,0.1360569150606216,76
eil76,twice-around-the-tree,0.0058887004852294,2440.0,707.1533198611806,538,0.2392031757616392,76
fl1400,christofides,140.3865451812744,50504.0,22802.29052809236,20127,0.1173255171359389,1400
fl1400,twice-around-the-tree,2.7904374599456787,44808.0,27915.52347719665,20127,0.2790033109556,1400
fl1577,christofides,112.68504309654236,53816.0,24603.56105776532,22249,0.0957000107519874,1577
fl1577,twice-around-the-tree,3.585606336593628,50472.0,31223.096666973648,22249,0.2874185338722675,1577
fl3795,christofides,1536.2598145008087,128456.0,31074.200359803213,28772,0.0740871955881857,3795
fl3795,twice-around-the-tree,24.311752319335938,121448.0,39072.83254850032,28772,0.2636315791980043,3795
fl417,christofides,2.394160509109497,14440.0,13419.838935107877,11861,0.1161592879501533,417
fl417,twice-around-the-tree,0.1850719451904297,13352.0,16297.174640391935,11861,0.2722051360606422,417
fnl4461,christofides,1800.0,,,182566,,4461
fnl4461,twice-around-the-tree,34.99620342254639,142760.0,254671.62750690823,182566,0.2831317654533475,4461
