problem,algorithm,time-required,space-required,solution,optimal-solution,solution-quality,problem-size
a280,christofides,3.860629796981812,9880.0,2977.137612435975,2579,0.1337316793059518,280
bier127,christofides,0.5118741989135742,4600.0,132035.73486533115,118282,0.1041667612132364,127
brd14051,christofides,1800.0,,,469385,,14051
d1291,christofides,219.7481074333191,43560.0,58082.963428742136,50801,0.1253717613371407,1291
d15112,christofides,1800.0,,,1573084,,15112
d1655,christofides,504.6338036060333,57224.0,70630.68985104751,62128,0.1203823701705132,1655
d18512,christofides,1800.0,,,645238,,18512
d198,christofides,1.2801523208618164,7016.0,17259.450867514937,15780,0.0857183046477742,198
d2103,christofides,850.6165111064911,68584.0,83723.94596314241,80450,0.039104057094773,2103
d493,christofides,18.08656525611877,17368.0,38440.5452829601,35002,0.0894510017391541,493
d657,christofides,44.67945122718811,23160.0,54778.95807756741,48912,0.1071024036138064,657
eil101,christofides,0.2691786289215088,3672.0,738.0637823905627,629,0.1477701317863192,101
eil51,christofides,0.0587108135223388,1816.0,483.4772385287931,426,0.1188830289171309,51
eil76,christofides,0.2280268669128418,2744.0,622.7262065969898,538,0.1360569150606216,76
fl1400,christofides,493.5654678344727,50504.0,22802.29052809236,20127,0.1173255171359389,1400
fl1577,christofides,412.76888132095337,53816.0,24603.56105776532,22249,0.0957000107519874,1577
fl3795,christofides,1800.0,,,28772,,3795
fl417,christofides,9.07779836654663,14440.0,13419.838935107877,11861,0.1161592879501533,417
fnl4461,christofides,1800.0,,,182566,,4461
gil262,christofides,2.865713596343994,9304.0,2719.377097921468,2378,0.125535034542431,262
nrw1379,christofides,461.8667929172516,49272.0,64474.0668269643,56638,0.1215382744196168,1379
p654,christofides,26.66351079940796,21944.0,39429.3871309186,34643,0.1213913651517385,654
pcb1173,christofides,208.78303146362305,40920.0,63112.70097426472,56892,0.098564962016145,1173
pcb3038,christofides,1800.0,,,137694,,3038
pcb442,christofides,11.750859022140505,15672.0,55290.50617848888,50778,0.0816144848434124,442
pr1002,christofides,149.3706820011139,35800.0,288747.9501859648,259045,0.1028680902040513,1002
pr107,christofides,0.1668586730957031,3784.0,47908.94274807253,44303,0.0752665899357088,107
pr124,christofides,0.2385990619659423,4232.0,64210.23115552175,59030,0.0806761019591233,124
pr136,christofides,0.2566843032836914,4632.0,103500.32344411162,96772,0.0650077528283745,136
pr144,christofides,0.3226234912872314,4808.0,70827.91738175366,58537,0.1735321019748067,144
pr152,christofides,0.3345246315002441,5080.0,79246.02588075907,73682,0.0702120493604464,152
pr226,christofides,1.3909945487976074,7928.0,92260.06811487427,80369,0.1288864007781626,226
pr2392,christofides,1723.8695194721222,84520.0,424929.8329089746,378032,0.1103660634696382,2392
pr264,christofides,1.9173030853271484,9064.0,55217.92466130641,49135,0.1101621384472093,264
pr299,christofides,3.759842157363892,10568.0,54028.44026409343,48191,0.1080438420128317,299
pr439,christofides,10.470542669296265,15128.0,120378.77288817512,107217,0.1093363270981474,439
pr76,christofides,0.1024026870727539,2632.0,118336.23689779808,108159,0.0860027085920242,76
rat195,christofides,1.0392866134643557,6824.0,2638.540945828865,2323,0.1195891791361767,195
rat575,christofides,30.24451494216919,20456.0,7737.556556453064,6773,0.1246590638033697,575
rat783,christofides,81.08524417877197,27896.0,10145.543599522043,8806,0.1320327083888486,783
rat99,christofides,0.1850044727325439,3480.0,1339.1576769339454,1211,0.0957002145015271,99
rd100,christofides,0.2549281120300293,3608.0,8932.645184239827,7910,0.1144840260804398,100
rd400,christofides,11.472452640533447,14248.0,17345.83497753085,15281,0.1190392379614794,400
rl11849,christofides,1800.0,,,923288,,11849
rl1304,christofides,238.4542269706726,43784.0,279362.18883039244,252948,0.0945517678715967,1304
rl1323,christofides,244.54706001281733,44440.0,300261.09735081194,270199,0.1001198544068754,1323
rl1889,christofides,740.9115374088287,63592.0,346820.621567422,316536,0.0873207061060948,1889
rl5915,christofides,1800.0,,,565530,,5915
rl5934,christofides,1800.0,,,556045,,5934
ts225,christofides,1.0413663387298584,7544.0,133282.1703627935,126643,0.0498128920374097,225
tsp225,christofides,1.5662763118743896,7864.0,4372.193313361265,3916,0.1043396942141497,225
u1060,christofides,175.02274894714355,37544.0,251198.22454233345,224094,0.1078997456758126,1060
u1432,christofides,364.388491153717,50344.0,172954.96807493852,152970,0.1155501243900629,1432
u159,christofides,0.6017754077911377,5624.0,47538.18669399804,42080,0.1148168887705421,159
u1817,christofides,663.9976425170898,62664.0,66919.75995532992,57201,0.145230048072757,1817
u2152,christofides,1051.6606707572937,73992.0,73514.89190589965,64253,0.1259866085058662,2152
u2319,christofides,1800.0,,,234256,,2319
u574,christofides,30.150309085845947,20280.0,41642.91728025676,36905,0.1137748647235874,574
u724,christofides,59.14470338821411,25608.0,47560.99440743132,41910,0.11881573288863699,724
