problem,algorithm,time-required,space-required,solution,optimal-solution,solution-quality,problem-size
a280,twice-around-the-tree,0.4415111541748047,8968,3630.72030510924,2579,0.2896726315241724,280
bier127,twice-around-the-tree,0.0325498580932617,4072,158637.60615918832,118282,0.2543886480403178,127
d1291,twice-around-the-tree,8.247389316558838,41320,74658.29731002661,50801,0.319553193276785,1291
d1655,twice-around-the-tree,19.97122383117676,52968,85681.0784168341,62128,0.2748924132612987,1655
d198,twice-around-the-tree,0.1329958438873291,6344,19218.43305436619,15780,0.1789132883330995,198
d2103,twice-around-the-tree,45.70145058631897,67304,124533.87160392564,80450,0.3539910149435681,2103
d493,twice-around-the-tree,1.012885570526123,15784,45427.08884703529,35002,0.2294905773543897,493
d657,twice-around-the-tree,2.826648712158203,21032,65730.19370040316,48912,0.2558670947640917,657
eil101,twice-around-the-tree,0.0543131828308105,3240,830.5422075548881,629,0.2426634139982209,101
eil51,twice-around-the-tree,0.0094161033630371,1640,640.9012229251007,426,0.3353109890230545,51
eil76,twice-around-the-tree,0.0183854103088378,2440,707.1533198611806,538,0.2392031757616392,76
fl1400,twice-around-the-tree,10.403446435928345,44808,27915.52347719665,20127,0.2790033109556,1400
fl1577,twice-around-the-tree,12.939556360244753,50472,31223.096666973648,22249,0.2874185338722675,1577
fl3795,twice-around-the-tree,243.6728322505951,121448,39072.83254850032,28772,0.2636315791980043,3795
fl417,twice-around-the-tree,0.659475564956665,13352,16297.174640391935,11861,0.2722051360606422,417
gil262,twice-around-the-tree,0.4023447036743164,8392,3358.1541767582894,2378,0.2918728936098035,262
nrw1379,twice-around-the-tree,20.98875069618225,44136,79156.2650653691,56638,0.2844786201922613,1379
p654,twice-around-the-tree,1.916536569595337,20936,49731.89542216019,34643,0.3034047927205421,654
pcb1173,twice-around-the-tree,9.014241695404053,37544,80694.8928627429,56892,0.2949739694583915,1173
pcb3038,twice-around-the-tree,188.7545018196106,97224,196573.8992219609,137694,0.2995306063267171,3038
pcb442,twice-around-the-tree,1.8391616344451904,14152,69364.90250618651,50778,0.2679583165928732,442
pr1002,twice-around-the-tree,4.372925519943237,32072,342244.46239584225,259045,0.243099513761053,1002
pr107,twice-around-the-tree,0.035374641418457,3432,54238.03661175547,44303,0.1831747097128911,107
pr124,twice-around-the-tree,0.0389349460601806,3976,74140.95964828487,59030,0.2038139204020194,124
pr136,twice-around-the-tree,0.0529031753540039,4360,151913.74200165656,96772,0.3629806051453545,136
pr144,twice-around-the-tree,0.0685398578643798,4616,80596.32004796875,58537,0.2737013307163359,144
pr152,twice-around-the-tree,0.0539016723632812,4872,87998.6939814051,73682,0.1626921188674725,152
pr226,twice-around-the-tree,0.1346793174743652,7240,116692.15371518278,80369,0.3112733166605081,226
pr2392,twice-around-the-tree,36.891430139541626,76552,523132.9069393881,378032,0.277369106425186,2392
pr264,twice-around-the-tree,0.2458817958831787,8456,66466.8417493333,49135,0.2607592190809509,264
pr299,twice-around-the-tree,0.2603647708892822,9576,64646.03471992065,48191,0.2545405111266637,299
pr439,twice-around-the-tree,0.7784698009490967,14056,144624.15787804432,107217,0.2586508258847617,439
pr76,twice-around-the-tree,0.0143909454345703,2440,145338.11445183848,108159,0.2558111792771244,76
rat195,twice-around-the-tree,0.1156964302062988,6248,3317.723252056972,2323,0.2998210448807773,195
rat575,twice-around-the-tree,1.012681484222412,18408,9438.933433360664,6773,0.2824401138308989,575
rat783,twice-around-the-tree,2.7765042781829834,25064,12054.453156740949,8806,0.2694815861410011,783
rat99,twice-around-the-tree,0.034783124923706,3176,1723.2250451508614,1211,0.2972479111722858,99
rd100,twice-around-the-tree,0.0308380126953125,3208,10791.655815950702,7910,0.2670262900426685,100
rd400,twice-around-the-tree,0.4610493183135986,12808,20250.376744292647,15281,0.2453967551834912,400
rl1304,twice-around-the-tree,15.816249370574951,41736,347782.57034149766,252948,0.2726835052382783,1304
rl1323,twice-around-the-tree,8.829216241836548,42344,380421.587604229,270199,0.2897379938356676,1323
rl1889,twice-around-the-tree,27.36111545562744,60456,449811.4881732208,316536,0.2962918726564336,1889
ts225,twice-around-the-tree,0.4253237247467041,7208,188009.70162933244,126643,0.3264017819161215,225
tsp225,twice-around-the-tree,0.2865025997161865,7208,5115.932581284439,3916,0.2345481614973073,225
u1060,twice-around-the-tree,6.969231843948364,33928,302914.8663669418,224094,0.2602079828972824,1060
u1432,twice-around-the-tree,17.9311945438385,45832,214430.780547912,152970,0.2866229390709106,1432
u159,twice-around-the-tree,0.1188912391662597,5096,57787.974410195486,42080,0.2718208168830389,159
u1817,twice-around-the-tree,23.90133118629456,58152,83501.55577440909,57201,0.3149708473152722,1817
u2152,twice-around-the-tree,32.76839804649353,68872,95076.21583494876,64253,0.3241948111235044,2152
u2319,twice-around-the-tree,44.06453537940979,74216,320532.84102777723,234256,0.2691669307617079,2319
u574,twice-around-the-tree,1.0797457695007324,18376,49083.15193822763,36905,0.2481126711983398,574
u724,twice-around-the-tree,1.9351260662078853,23176,57779.66789292217,41910,0.2746583438716191,724
vm1084,twice-around-the-tree,11.064390420913696,34696,315268.3487491507,239297,0.2409735993180804,1084
vm1748,twice-around-the-tree,19.66072130203247,55944,444658.6319423448,336556,0.2431137600323512,1748
